"FUENTE"|"FECHA"|"PI_NCF"|"PI_NOMBRE"|"PI_RNC"|"PI_TOTAL"|"PI_EXONERACION"|"PI_PCT_LEY"|"PI_IVA"|"MONTO"
"PATEPALO"|20180302|"-"|"-"|"-"|10285.99|" -   "|803.59|1446.47|8035.93
"PATEPALO"|20180302|"-"|"-"|"-"|9484.93|" -   "|741.01|1333.82|7410.10
"PATEPALO"|20180302|"-"|"-"|"-"|4750.38|" -   "|371.12|668.02|3711.24
"PATEPALO"|20180302|"-"|"-"|"-"|10093.59|" -   "|788.56|1419.41|7885.62
"PATEPALO"|20180302|"-"|"-"|"-"|5484.80|" -   "|428.50|771.30|4285.00
"PATEPALO"|20180302|"-"|"-"|"-"|5600.00|" -   "|437.50|787.50|4375.00
"PATEPALO"|20180302|"-"|"-"|"-"|2803.20|" -   "|219.00|394.20|2190.00
"PATEPALO"|20180302|"-"|"-"|"-"|5382.40|" -   "|420.50|756.90|4205.00
"PATEPALO"|20180302|"-"|"-"|"-"|499.99|" -   "|39.06|70.31|390.62
"PATEPALO"|20180302|"-"|"-"|"-"|11110.40|" -   "|868.00|1562.40|8680.00
"PATEPALO"|20180303|"-"|"-"|"-"|5619.20|" -   "|439.00|790.20|4390.00
"PATEPALO"|20180303|"-"|"-"|"-"|5255.68|" -   "|410.60|739.08|4106.00
"PATEPALO"|20180303|"-"|"-"|"-"|4544.40|" -   "|355.03|639.06|3550.31
"PATEPALO"|20180303|"-"|"-"|"-"|10028.80|" -   "|783.50|1410.30|7835.00
"PATEPALO"|20180303|"-"|"-"|"-"|316.80|" -   "|24.75|44.55|247.50
"PATEPALO"|20180303|"-"|"-"|"-"|5907.20|" -   "|461.50|830.70|4615.00
"PATEPALO"|20180303|"-"|"-"|"-"|4851.60|" -   "|379.03|682.26|3790.31
"PATEPALO"|20180303|"-"|"-"|"-"|2796.80|" -   "|218.50|393.30|2185.00
"PATEPALO"|20180303|"-"|"-"|"-"|14771.20|" -   "|1154.00|2077.20|11540.00
"PATEPALO"|20180303|"-"|"-"|"-"|153.60|" -   "|12.00|21.60|120.00
